OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
d246ff88cdb0cb732120211ea07250d1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,NA,NA
d25367d4b2686765f48da22fd6b0ca53,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,NA
d25e3e9da12f6b8b9bbca4b5e1b0cf18,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Sarcina,NA
d269e3f992a8dbaced1609d692669a43,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
d26e77a6f78e6abbb0168a41a69721cd,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,NA,NA
d26f1ebb34d1c1bd1bd07aa6e5357815,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,wittichii
d26f527d0c4a1de7ad3694c0894fc299,Bacteria,NA,NA,NA,NA,NA,NA
d26fc42571055f25a062ad9b5152f6c1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
d27d1a4b22d203d3c9dc43e7842bff9d,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,NA,NA
d284e1ca5354b89d3607da048f45c83c,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,NA,NA
d286f447f69c8e22d301a289179cf674,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,variabile
d28dc9e22a90dc7529ee2b6ab399ee1f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
d28ffc856601b467658aabf928156ced,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,NA
d29d00fd3b82fb8da8a54194214be740,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,NA
d2a2d9d6a1de117e598dd6fe0db1a664,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA
d2a8622c17da403c54496498119fea3c,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,helveticus
d2ada554cf1330ab4a4dd82c613fac81,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,NA
d2b0560063d22d08ab5ea92179a40062,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,NA
d2c386dd8202fd745d4b1bdaed530edf,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,NA
d2c41fb1576552f6c90deca2f33fc19d,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,[Eubacterium],dolichum
d2c797de79c52a0e1d85894a7592c554,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
d2c7ce96264da5d36d4cf0e2ceef9ef7,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,NA,NA,NA
d2d86e4eeb938040149e2d9c3baf8e63,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,NA
d2d8e6623b6afa7df049b029b09929d8,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA
d2dad20965e55f72fd3f88c5d4168273,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
d2dbc050529a83de49e19a2b98a1b7c7,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA,NA
d2e98da207fefc13358df2ac8ed1ac42,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA
d2ec44628ee489940e679ab1aaaabdb2,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus],gnavus
d2eec049110ab04739984638282f7173,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,NA
d2efe6be949e21e68cecfa306d3baeaa,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,NA
d2f72e0bc9e30f9603da468ef5f9be13,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Proteocatella,sphenisci
d2f9c7170af18ed3e7434cdf0009ae27,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,pullicaecorum
d2fe1caa8e69b73bf990be08143488b6,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,NA,NA
d309d83231852ca045ec3fdf6207bb50,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,neonatale
d30a5eea131ecb24c2aba4b82a8bd4c6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
d32080afaa275cc808efda20d8f4f6ea,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
d3215f42e961664f63692a7d748cbee0,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,haemobos
d322b100b6ed2229d2e9552693c4fdb3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],Bergeyella,zoohelcum
d32971e7868bcb031002cd7bace64f3b,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,[Weeksellaceae],NA,NA
d33809225f37fafa908fe9d7afbdb64a,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus],gnavus
